run,lr,batch,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-104,104,0.7475253303349018,0.097911417514089,0.1457600295287557,0.3673052442558992,0.000648608042418048,0.6366722308391782,0.6056121366601774,-28.086943112673513
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-117,117,0.7467206543684006,0.09643600767802342,0.14366138020472136,0.36644434792966607,0.000648608042418048,0.6349681522439612,0.6066777990949074,-27.52042546207486
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-120,120,0.7472684785723687,0.09717130179567046,0.14392742205149262,0.36480225866088695,0.0014264303851701861,0.6348948264300219,0.6074893238913973,-27.562817939330543
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-13,13,0.9657644483447075,0.6093895340688755,0.816063718944788,0.7325100604684935,1.3261055712130201e-13,0.5482714939918689,0.6279840557360289,-99.68783719752
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-26,26,0.8690634307265281,0.2255176697042038,0.2503219449426979,0.5265813736817667,2.44374577116149e-10,0.601816048863194,0.5268115447023797,-93.20949590053807
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-39,39,0.7981031262874603,0.14858943474499411,0.24242469602264463,0.4882461542639216,2.4125498977354686e-08,0.6157277107104718,0.5388143365792265,-80.26437489128035
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-52,52,0.7768125376105308,0.12310599024151715,0.1894346501759719,0.45568710103385557,4.6128382074998843e-07,0.6309762790123551,0.5505256344604172,-62.667642968603744
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-65,65,0.7703562536835671,0.11599927965293207,0.19987149644992314,0.4333948775669995,4.7487878961137165e-05,0.6455536151440802,0.5689257465194273,-56.06597810142348
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-78,78,0.7535774692893028,0.1035990638046025,0.16273199568342533,0.38188868068143367,0.0002829222008740643,0.646588864873499,0.5880317535350487,-42.26529982391471
lr2e-5_b16_mb8_ga2_e10,2e-5,16,checkpoint-91,91,0.747592362165451,0.09942330802026474,0.1399183966903365,0.36642517806356933,0.0014264303851701861,0.6376092926751641,0.6000933217046885,-29.690149525252036
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-14,14,0.9017644783854485,0.30702967778925394,0.3944264099933207,0.5349520594038468,5.951062636424447e-11,0.5821092048537614,0.5734008818989754,-96.4159087256951
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-21,21,0.8336187168955803,0.19911739875537252,0.2648353710118681,0.45547820645142584,2.6127403909667314e-07,0.6108790632568001,0.5422176859941883,-84.17989824507785
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-28,28,0.8051093250513077,0.16369721025048498,0.22402736264280976,0.43728202696345486,2.3797467071606504e-06,0.6219148571670197,0.5453058595468384,-76.09449667394873
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-35,35,0.799587362408638,0.1563636281149753,0.24283577611437068,0.4215683170087715,2.3797467071606504e-06,0.6265932511837352,0.5561789292580122,-73.15400029703191
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-42,42,0.7950891891121864,0.1540753116810286,0.20854204764589668,0.4179897600138042,1.8266119303942767e-05,0.62707843176452,0.5570028451615096,-70.13642668874108
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-49,49,0.793884644806385,0.15258648168193728,0.21592765487497673,0.41419908948150586,2.3797467071606504e-06,0.6322131237075527,0.5629809263052651,-68.9687066334255
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-56,56,0.7923575443029404,0.1524145796459223,0.2205856132390909,0.41438073365350137,4.024806511439489e-06,0.6312004875731423,0.5644751808350026,-68.5409279993
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-60,60,0.7931302365660667,0.15283209318349372,0.2201402007159777,0.4159707988109291,6.734842895808746e-06,0.6320471372665256,0.5649903638163997,-68.44843532165125
lr2e-5_b32_mb8_ga4_e10,2e-5,32,checkpoint-7,7,0.9729630726575852,0.7016690390696442,0.8884763370454312,0.7649758731301475,1.3261055712130201e-13,0.5357081176115913,0.6324485164156904,-99.78032987516875
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-104,104,0.5454299129359425,0.05458056851781505,0.04256719882318066,0.21025932673204514,0.2704743832803917,0.6532290549650146,0.5944091240630422,46.358100809872326
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-117,117,0.5455007665790618,0.055116282803529336,0.04236095479387586,0.20789833705566507,0.220541217580421,0.6525177531948265,0.5950738094950032,46.27331585536097
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-120,120,0.5450676900334657,0.05489889149918151,0.042327627841914364,0.2080088615608967,0.220541217580421,0.6521061189615759,0.5952721387947383,46.35424694830363
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-13,13,0.83633559435606,0.1898434213031218,0.31717564767226575,0.46760748992172824,2.6127403909667314e-07,0.6280975172728122,0.5253208680275391,-90.09942961459852
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-26,26,0.6156189193576574,0.07054199557594146,0.12066971915308386,0.35682400704058564,0.6284308022715471,0.7093074425706432,0.5334814090586524,10.058578694302657
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-39,39,0.5611469161510467,0.055530746769996676,0.047813263891730455,0.23689343411018463,0.11228360286766195,0.6731384822817087,0.5747486231040075,37.868043774029886
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-52,52,0.5586677533574402,0.055242871373090655,0.04474249204182343,0.24279619182826173,0.46628639073563594,0.6564379732137161,0.579060980360754,42.777863412551575
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-65,65,0.5499687648750842,0.055499842373947554,0.045655958318584454,0.22020002218915163,0.1420746514551761,0.6622147005221712,0.5878841351805246,46.36966239457843
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-78,78,0.5451414439640939,0.05521432201921561,0.04440472561276693,0.2042418211620096,0.2704743832803917,0.6564468588107534,0.5932238871364623,46.338831502028846
lr4e-5_b16_mb8_ga2_e10,4e-5,16,checkpoint-91,91,0.545570649895817,0.05521432201921561,0.04313767585910682,0.20421700121622238,0.220541217580421,0.6547727794123542,0.5935786023373918,46.39278556399062
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-14,14,0.6731288382411003,0.08407756896966961,0.1619672010699287,0.3431381790486355,0.03956202584899502,0.7167568620916407,0.4940927994743355,-16.879913670898755
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-21,21,0.6053306041657924,0.06329092088515491,0.08362852471182122,0.2492709114071273,0.9877895282790693,0.6901392529053291,0.5500171045030476,34.966086012800034
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-28,28,0.5574002758786082,0.05333616165117449,0.0567742700781173,0.2554784247158191,0.8655265369450457,0.6742916196993093,0.579282159738879,41.452135032919344
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-35,35,0.5536202989891171,0.05275691177450012,0.057314019158802694,0.2267982038381985,0.7933622419382523,0.6777556574918799,0.5850368117469474,41.75273623527781
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-42,42,0.5656780824437737,0.059566722790978764,0.0592381835064316,0.21986427507447176,0.6284308022715471,0.6774761934086443,0.587312422402472,41.24017264664093
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-49,49,0.5675485455617308,0.0606437297597604,0.05903211949604156,0.21605682543686627,0.6284308022715471,0.6759963106117561,0.5864005880565112,41.139972245854786
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-56,56,0.5662852052971721,0.058700442094672046,0.05844389100115222,0.22001742707568275,0.5452713464323318,0.6757237124740467,0.5880027478761387,41.336519185858386
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-60,60,0.5660306170210242,0.05963658928081924,0.05838805022289307,0.22257801414154132,0.5452713464323318,0.6760283870745818,0.5888571216897052,41.38276552468278
lr4e-5_b32_mb8_ga4_e10,4e-5,32,checkpoint-7,7,0.8500398644804954,0.20444501443025062,0.4466815370693803,0.47524418245925204,1.4639479233432268e-07,0.6286783573938819,0.5799306933901345,-92.12270693816514
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-104,104,0.5094429766014218,0.04829353096106107,0.037543124258231725,0.20870107616459535,0.0878382826713132,0.6592779445231258,0.5725696984978413,48.847695383251455
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-117,117,0.5096174360439182,0.048579304845082764,0.03733798130257014,0.20774985445001337,0.06801920461119272,0.6589392532679237,0.5758733764723881,48.890087860507144
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-120,120,0.5095283450558782,0.04851436978014771,0.03729902550934071,0.20392063583369954,0.0878382826713132,0.658795808987283,0.5752087375502967,48.920918753056725
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-13,13,0.6505594526231289,0.07188566282654273,0.14024778696708382,0.3637146110728509,0.006094418258803505,0.7035762697093793,0.4628971497966741,-32.82719284217246
