rank,run,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,checkpoint_path,summary_path,composite_score
1,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-78,78,0.6408950553834438,0.0735124767662814,0.0308027600808964,0.2622001762606453,0.9238374197330624,0.6421945995734268,0.5987347224972661,52.6938492288124,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-78,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-78/evals/TOFU_SUMMARY.json,0.8207047840092061
2,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-120,120,0.6464679878950119,0.0757223468704049,0.030274301781319,0.2587011428487353,0.9646522162314058,0.6466007564153716,0.5952366388499826,53.17943578646839,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-120,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-120/evals/TOFU_SUMMARY.json,0.818664534923526
3,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-91,91,0.6462008009850979,0.0761131271767088,0.0310060417701606,0.2618051335281929,0.9646522162314058,0.6468922685990748,0.5950372966402238,53.04455063156396,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-91,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-91/evals/TOFU_SUMMARY.json,0.8173845763895392
4,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-117,117,0.6465165910124778,0.0759150301783466,0.0302949681281825,0.2606320938498762,0.9646522162314058,0.6466441870855851,0.5947020134477402,53.1755819248997,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-117,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-117/evals/TOFU_SUMMARY.json,0.8162946687336587
5,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-104,104,0.647663907557726,0.0759624059830282,0.0306243595167325,0.2612855782412284,0.9646522162314058,0.6466007418015498,0.5944796311553742,53.106212416663126,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-104,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-104/evals/TOFU_SUMMARY.json,0.8150359771961029
6,lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.25_e10,checkpoint-14,14,0.700886266976595,0.0858328865449127,0.098352048714878,0.2907985151863656,0.9646522162314058,0.6739618247883763,0.5971676469722682,25.470171107527328,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.25_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.25_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.8001160629445416
7,lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-14,14,0.6935638669133186,0.0825989166682868,0.0865133649681229,0.2852186613608456,0.9877895282790692,0.6717674148786729,0.5929417721457232,28.64189917856606,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.7951155265330454
8,lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-42,42,0.692540020942688,0.0767721879673374,0.0742657550226431,0.2956681712403282,0.9646522162314058,0.6690229567604093,0.5926478848980055,42.07260674547978,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-42,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-42/evals/TOFU_SUMMARY.json,0.7877032376163564
9,lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-56,56,0.6891461712121963,0.0772342145720551,0.0695569378780783,0.2981042994695325,0.8655265369450457,0.665742750031358,0.597506130531907,44.02651456080984,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-56,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-56/evals/TOFU_SUMMARY.json,0.7771344681800706
10,lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-65,65,0.6487563624978065,0.0743267571917088,0.0366133213500143,0.2517247117567494,0.8655265369450457,0.6428851640711817,0.5914470555681323,51.92307691507273,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-65,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-65/evals/TOFU_SUMMARY.json,0.773982743888976
