split,method,tag,lr,eff_b,mb,ga,alpha,beta,delta,gamma,epoch,checkpoint,checkpoint_step,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,score,summary_path,eval_path
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-25,25,4.346199600129006e-25,0.6074749871128725,0.99055817425251,0.8926901628975282,0.5123104021758477,0.5757026088863383,0.46344612790281003,0.5341471230407294,-0.3341491814621466,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-25/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-25/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-50,50,2.0508859434374988e-24,0.624270467109169,0.9776702865958213,0.726284646760663,0.5236043045600438,0.6155512174322076,0.45329668398357514,0.5452994494619064,-0.22770699956907314,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-50/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-50/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-75,75,1.6623182901932567e-21,0.6233181933682201,0.9589368855953216,0.560899934077593,0.529084837903205,0.6082588723660729,0.456602788795138,0.5478626455305866,-0.13660021646823717,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-75/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-75/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-100,100,1.3990395281788573e-20,0.6209615647180871,0.9421979795396328,0.45165737793666744,0.5349631260338947,0.6077813415832695,0.45906391399264507,0.5450607606192744,-0.07596611402006306,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-100/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-100/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-125,125,6.916893189690245e-21,0.6291788291920623,0.9271899935603142,0.35881259293732626,0.5347037773828105,0.6250343691651833,0.4631247471618836,0.5554950673011396,-0.013822464056757966,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-125/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-125/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-150,150,6.916893189690245e-21,0.6281100159184569,0.9215165904164314,0.32599369958947455,0.5331196530065511,0.6212142391064621,0.4669757600691771,0.5500244688233754,0.004354870915503961,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-150/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-150/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-175,175,5.627715395305929e-20,0.630912272093772,0.9147554714977741,0.3037278908511524,0.533036631485595,0.6252731926183621,0.46708927284352136,0.5532222080068957,0.021670590919308702,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-175/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-175/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-200,200,2.213522258546535e-19,0.6294514875053132,0.9106146645545959,0.2842563245204966,0.5323428733063509,0.6206224099470323,0.4676428136121254,0.5494565021528964,0.03201599296776694,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-200/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-200/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-225,225,1.11924339764853e-19,0.6302406243672384,0.9100111766159534,0.28165706703417187,0.53288871460408,0.6200437603306524,0.4678291427924271,0.5501709706532317,0.034406502542175726,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-225/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-225/evals/TOFU_EVAL.json
forget10,SimNPO,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,2e-5,16,8,2,1.0,3.5,0,0.125,10,checkpoint-250,250,2.213522258546535e-19,0.6300866080118437,0.9094512043893337,0.27760813383736976,0.5323868735459478,0.6200926570239755,0.46786332377995576,0.5509317007254786,0.03655693889849196,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-250/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-250/evals/TOFU_EVAL.json
