split,model,method_family,trainer,variant,learning_rate,batch_size,gradient_accumulation_steps,effective_batch_size,epochs,alpha,beta,gamma,delta,gain_threshold,warm_up,patience,rebound_delta,reactivation_patience,extraction_strength,forget_knowmem_ROUGE,forget_verbmem_ROUGE,retain_knowmem_ROUGE,privleak,retrain_extraction_strength,retrain_forget_knowmem_ROUGE,retrain_forget_verbmem_ROUGE,retrain_retain_knowmem_ROUGE,retrain_privleak,abs_error_extraction_strength,abs_error_forget_knowmem_ROUGE,abs_error_forget_verbmem_ROUGE,abs_error_retain_knowmem_ROUGE,abs_privleak,train_runtime_seconds,final_epoch,global_step,final_active_samples,final_stopped_samples,cumulative_saved_forget_instances,total_stop_events,total_reactivation_events,run_name,result_dir,summary_path
Books,Llama-2-7b-hf,GradDiff,GradDiff,baseline,1e-05,8,4,32,10,1,,,,,,,,,0.007936507936507908,0.0,0.0,0.005494252873563218,-24.214127214457445,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.002777777777777794,0.30288538409350424,0.14445949358649268,0.6818837046808648,24.214127214457445,8336.0479,9.971428571428572,170,,,,,,lr1e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/GradDiff/lr1e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/GradDiff/lr1e-5_b8_ga4_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,GradDiff,GradDiff,baseline,2e-05,8,4,32,10,1,,,,,,,,,0.007936507936507908,0.0,0.0,0.0,-22.60539940410404,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.002777777777777794,0.30288538409350424,0.14445949358649268,0.687377957554428,22.60539940410404,8284.736,9.971428571428572,170,,,,,,lr2e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/GradDiff/lr2e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/GradDiff/lr2e-5_b8_ga4_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,nll_gain_early_stop,1e-05,8,4,32,10,1,,,,0.05,1,1,0.05,2,0.013412698412698397,0.31826207518535105,0.023500575776116292,0.595882917870332,-36.39053253764967,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.0026984126984126947,0.015376691091846806,0.12095891781037639,0.091495039684096,36.39053253764967,5692.532,9.971428571428572,170,0,553,4424,553,0,lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.05_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.05_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.05_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,nll_gain_early_stop,1e-05,8,4,32,10,1,,,,0.1,1,1,0.05,2,0.012380952380952364,0.30080175772503354,0.020009379553163526,0.5963591083465225,-35.81730768568468,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.0016666666666666618,0.0020836263684707035,0.12445011403332916,0.09101884920790548,35.81730768568468,5696.9873,9.971428571428572,170,0,553,4424,553,0,lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,nll_gain_early_stop,1e-05,8,4,32,10,1,,,,0.2,1,1,0.05,2,0.01182539682539681,0.30529778947106534,0.02127434556721318,0.6016067863650983,-35.74334318865693,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.0011111111111111079,0.0024124053775611,0.1231851480192795,0.08577117118932964,35.74334318865693,5699.7972,9.971428571428572,170,0,553,4424,553,0,lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,GradDiff,GradDiff,baseline,1e-05,8,4,32,10,1,,,,,,,,,0.007936507936507908,0.31641456170248744,0.007338638109803576,0.2643473361863455,109.29890845732604,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.016507936507936524,0.011451572163646395,0.19428877764223998,0.29582564016013696,109.29890845732604,5779.6593,9.235294117647058,120,,,,,,lr1e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr1e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr1e-5_b8_ga4_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,GradDiff,GradDiff,baseline,2e-05,8,4,32,10,1,,,,,,,,,0.008571428571428546,0.22673499291875263,0.015231900992636436,0.105991232625479,84.67674221564303,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.015873015873015886,0.10113114094738121,0.1863955147594071,0.45418174372100345,84.67674221564303,5755.5146,9.235294117647058,120,,,,,,lr2e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr2e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr2e-5_b8_ga4_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,GradDiff,GradDiff,baseline,5e-05,8,4,32,10,1,,,,,,,,,0.007936507936507908,0.0,0.0014619052052025428,0.0,19.71032745178207,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.016507936507936524,0.32786613386613384,0.200165510546841,0.5601729763464824,19.71032745178207,5716.6544,9.235294117647058,120,,,,,,lr5e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr5e-5_b8_ga4_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/GradDiff/lr5e-5_b8_ga4_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,nll_gain_early_stop,1e-05,8,4,32,10,1,,,,0.1,1,1,0.05,2,0.19484126984126984,0.6275154677910095,0.47642416985096103,0.5316062525191413,-99.66414775405873,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.1703968253968254,0.2996493339248757,0.27479675409891746,0.028566723827341156,99.66414775405873,4414.7237,9.235294117647058,120,19,388,2142,428,40,lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.1_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,nll_gain_early_stop,1e-05,8,4,32,10,1,,,,0.2,1,1,0.05,2,0.1441269841269841,0.6423062843549658,0.4404855715054598,0.5295184514313402,-99.03442483227658,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.11968253968253967,0.314440150488832,0.23885815575341626,0.0306545249151422,99.03442483227658,4667.6131,9.235294117647058,120,68,339,1672,415,76,lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga4_alpha1_e10_ies_graddiff_normnll_gain_ge0.2_warm1_patience1_rebounddelta0.05_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
