split,model,method_family,trainer,variant,learning_rate,batch_size,gradient_accumulation_steps,effective_batch_size,epochs,alpha,beta,gamma,delta,gain_threshold,warm_up,patience,rebound_delta,reactivation_patience,extraction_strength,forget_knowmem_ROUGE,forget_verbmem_ROUGE,retain_knowmem_ROUGE,privleak,retrain_extraction_strength,retrain_forget_knowmem_ROUGE,retrain_forget_verbmem_ROUGE,retrain_retain_knowmem_ROUGE,retrain_privleak,abs_error_extraction_strength,abs_error_forget_knowmem_ROUGE,abs_error_forget_verbmem_ROUGE,abs_error_retain_knowmem_ROUGE,abs_privleak,train_runtime_seconds,final_epoch,global_step,final_active_samples,final_stopped_samples,cumulative_saved_forget_instances,total_stop_events,total_reactivation_events,run_name,result_dir,summary_path
Books,Llama-2-7b-hf,SimNPO,SimNPO,baseline,1e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.15420634920634918,0.32477272934600526,0.27336456500780654,0.5887236923560453,-58.2285502850909,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.14349206349206348,0.021887345252501023,0.12890507142131385,0.09865426519838272,58.2285502850909,8534.3324,9.971428571428572,170,,,,,,lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,SimNPO,SimNPO,baseline,2e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.11865079365079366,0.30862713495554567,0.24573918955139307,0.5610107750244133,-57.562869811841175,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.10793650793650796,0.005741750862041428,0.10127969596490038,0.12636718253001467,57.562869811841175,8529.0512,9.971428571428572,170,,,,,,lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,SimNPO,SimNPO,baseline,5e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.13373015873015873,0.33985546310951853,0.2519319430624932,0.5740868553088431,-52.866124250579496,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.12301587301587302,0.03697007901601429,0.10747244947600054,0.11329110224558492,52.866124250579496,8485.1568,9.971428571428572,170,,,,,,lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SimNPO/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,SimNPO,SampleEarlyStopSimNPOIrreversible,nll_gain_early_stop,2e-05,8,4,32,10,1,4.5,0.125,0.0,1.0,2,1,0.1,2,0.15047619047619049,0.2912673977510638,0.2695544838304209,0.5769025696525697,-57.4704141905565,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.13976190476190478,0.011617986342440434,0.12509499024392823,0.11047538790185829,57.4704141905565,6157.5126,9.971428571428572,170,,,,,,lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.0_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.0_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.0_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
Books,Llama-2-7b-hf,SimNPO,SampleEarlyStopSimNPOIrreversible,nll_gain_early_stop,2e-05,8,4,32,10,1,4.5,0.125,0.0,1.5,2,1,0.1,2,0.12309523809523809,0.3058733354293699,0.2520592885075456,0.5675420187655482,-57.710798805896665,0.010714285714285702,0.30288538409350424,0.14445949358649268,0.687377957554428,8.159999998368011,0.11238095238095239,0.0029879513358656573,0.10759979492105293,0.11983593878887977,57.710798805896665,6619.6406,9.971428571428572,170,,,,,,lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.5_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.5_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/Books/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge1.5_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,SimNPO,SimNPO,baseline,1e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.2888888888888889,0.603918335477159,0.5371938425856423,0.5184023748750463,-99.89504615871219,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.2644444444444445,0.27605220161102517,0.3355664268335987,0.041770601471436186,99.89504615871219,5855.4205,9.235294117647058,120,,,,,,lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr1e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,SimNPO,SimNPO,baseline,2e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.13357142857142856,0.5790677349470453,0.385574631703107,0.43313070176843577,-99.89504615871219,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.10912698412698413,0.2512016010809115,0.18394721595106348,0.12704227457804668,99.89504615871219,5862.6527,9.235294117647058,120,,,,,,lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr2e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,SimNPO,SimNPO,baseline,5e-05,8,4,32,10,1,4.5,0.125,0.0,,,,,,0.09253968253968253,0.4751613738918086,0.34587227262365383,0.3621411768964199,-99.83207386653399,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.0680952380952381,0.1472952400256748,0.1442448568716103,0.19803179945006255,99.83207386653399,5880.854,9.235294117647058,120,,,,,,lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SimNPO/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_nlltrace/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,SimNPO,SampleEarlyStopSimNPOIrreversible,nll_gain_early_stop,5e-05,8,4,32,10,1,4.5,0.125,0.0,0.2,2,1,0.1,2,0.12666666666666665,0.4846586539869148,0.3717430122074729,0.37641540728954914,-99.8530646305934,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.10222222222222221,0.156792520120781,0.17011559645542937,0.1837575690569333,99.8530646305934,5066.6313,9.235294117647058,120,,,,,,lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.2_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.2_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.2_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
News,Llama-2-7b-hf,SimNPO,SampleEarlyStopSimNPOIrreversible,nll_gain_early_stop,5e-05,8,4,32,10,1,4.5,0.125,0.0,0.4,2,1,0.1,2,0.09666666666666666,0.48191045814089284,0.3497492376156011,0.38888169109871895,-99.83207386653399,0.024444444444444432,0.32786613386613384,0.20162741575204354,0.5601729763464824,-4.7199999990560135,0.07222222222222223,0.154044324274759,0.14812182186355757,0.1712912852477635,99.83207386653399,5652.5468,9.235294117647058,120,,,,,,lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.4_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.4_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,/unlearning/experment_data/checkpoints/muse/News/Llama-2-7b-hf/SampleEarlyStopSimNPOIrreversible/lr5e-5_b8_ga4_beta4.5_delta0.0_gamma0.125_alpha1_e10_ies_simnpo_normnll_gain_ge0.4_warm2_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/MUSE_SUMMARY.json
