split,num_forget_samples,model,method,trainer,controller_family,monitoring_signal,run_name,is_baseline,is_old_copy,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size_single_gpu,epochs_configured,beta,alpha,gamma,retain_loss_type,sampling_policy,retain_policy_after_stop,forget_loss_denominator,rebound_semantics,moving_average_window,criterion_threshold,stop_ratio_threshold,absolute_nll_gain_threshold,warm_up_epochs,stop_patience,rebound_ratio_threshold,rebound_delta,reactivation_patience,forget_quality,model_utility,forget_truth_ratio,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,privleak,final_active_samples,final_stopped_samples,stop_events,reactivation_events,saved_forget_instances,saved_forget_instances_pct_of_10epoch_budget,trajectory_final_epoch,trainer_completed_epoch,global_step,train_runtime_seconds,train_runtime_minutes,summary_json,trajectory_file,trainer_state_json,run_directory
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,1e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.2,,1.2,0.0,1,,0.1,2,9.594235055800515e-10,0.6068663297804565,0.5244825676757094,0.8623716852068901,0.21375196076749362,0.259967041015625,0.4362417668837888,-76.58393709317342,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,1e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.4,,1.4,0.0,1,,0.1,2,1.8694649189611297e-09,0.6031289341439381,0.5225593707953118,0.8529064702987671,0.19411776926969257,0.2306561279296875,0.4293887192550034,-71.06135346522873,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,1e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.6,,1.6,0.0,1,,0.1,2,3.602472544567432e-09,0.6018835350879187,0.5221637214419033,0.8401486787199974,0.1780493238334976,0.202615966796875,0.41423340255068347,-62.85648218546994,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr1e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.2,,1.2,0.0,1,,0.1,2,0.0001183661896190048,0.6284008087593834,0.5763624202167869,0.7745597663521767,0.12085381751101132,0.08717762947082519,0.33598442113769295,0.9827347000180798,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.4,,1.4,0.0,1,,0.1,2,0.000648608042418048,0.6283279269221439,0.5847138645438775,0.7655988189578057,0.1190657725034917,0.07525383949279785,0.3196946236723753,10.887158931572802,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.4_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.6,,1.6,0.0,1,,0.1,2,0.0014264303851701861,0.6341478281319828,0.5918955357304548,0.7655212715268135,0.11948760838968953,0.07718335151672363,0.3190866321201043,12.540465544544388,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.6_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.8_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.8,,1.8,0.0,1,,0.2,2,0.0004306111484986726,0.6345524796673039,0.573801802762595,0.7565735644102096,0.11154998753288915,0.058957571983337405,0.31530322640476155,21.570063200004608,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.8_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.8_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.0_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,2.0,,2.0,0.0,1,,0.2,2,0.0009668691315127085,0.6312196864161038,0.5785001069912237,0.7474012315273285,0.10565400996883645,0.05044184684753418,0.31135827245665343,27.354709414620803,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.0_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.0_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.2_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked,False,False,2e-5,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,2.2,,2.2,0.0,1,,0.2,2,0.0009668691315127085,0.641454476202185,0.5738970885963219,0.7202924698591232,0.10016649269517501,0.03179371833801269,0.29670457935097594,39.90673654387131,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.2_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr2e-5_b8_ga2_e10_ies_graddiff_normnll_gain_ge2.2_warm0_patience1_rebounddelta0.2_rpat2_samplingbaseline_masked
forget05,200,Llama-2-7b-chat-hf,GradDiff,SampleEarlyStopGradDiffIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr5e-6_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,5e-6,8,2,16,10,,,,NLL,baseline_forget_anchor_masked,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.2,,1.2,0.0,1,,0.1,2,2.9623487356936016e-13,0.6160730471959192,0.5111357502822015,0.9663621911406517,0.6268830814092329,0.82,0.7217434961626656,-99.12131954692133,,,,,,,,,,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr5e-6_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopGradDiffIrreversible/lr5e-6_b8_ga2_e10_ies_graddiff_normnll_gain_ge1.2_warm0_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
