split,num_forget_samples,model,method,controller_family,monitoring_signal,run_name,is_baseline,is_old_copy,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size_single_gpu,epochs_configured,beta,alpha,gamma,retain_loss_type,sampling_policy,retain_policy_after_stop,forget_loss_denominator,rebound_semantics,moving_average_window,criterion_threshold,stop_ratio_threshold,absolute_nll_gain_threshold,second_difference_tau,second_difference_window,warm_up_epochs,stop_patience,rebound_ratio_threshold,rebound_delta,reactivation_patience,stability_checks,forced_control,forget_quality,model_utility,forget_truth_ratio,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,privleak,final_active_samples,final_stopped_samples,stop_events,reactivation_events,saved_forget_instances,saved_forget_instances_pct_of_10epoch_budget,trajectory_final_epoch,trainer_completed_epoch,global_step,train_runtime_seconds,train_runtime_minutes,summary_json,trajectory_file,trainer_state_json,run_directory
forget01,40,Llama-2-7b-chat-hf,NPO,baseline,none,lr1e-5_b4_ga2_e10,True,False,1e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.006760732304,0.6134392509,0.5671999638,0.8124502599,0.1095535454,0.1456054687,0.393833144,-36.39798488,,,,,,,,10,50,323.0322,5.38387,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b4_ga2_e10
forget01,40,Llama-2-7b-chat-hf,NPO,baseline,none,lr2e-5_b4_ga2_e10,True,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.5786001417,0.6171076594,0.6731055942,0.7472526342,0.078479688,0.0732421875,0.3163000007,59.44584382,,,,,,,,10,50,324.1782,5.40297,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10
forget01,40,Llama-2-7b-chat-hf,NPO,baseline,none,lr2e-5_b4_ga2_e10_old,True,True,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.5786001417,0.6171076594,0.6731055942,0.7472526342,0.078479688,0.0732421875,0.3163000007,59.44584382,,,,,,,,10,50,321.2045,5.353408333,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10_old/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10_old/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10_old
forget01,40,Llama-2-7b-chat-hf,NPO,baseline,none,lr5e-5_b4_ga2_e10,True,False,5e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.1649726995,0.5582630474,0.6821872213,0.5678991362,0.05270647377,0.02317888737,0.2159934144,99.8740554,,,,,,,,10,50,324.2973,5.404955,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,1.8,,1.8,,,2,1,,,,,,0.5786001417,0.627719645,0.6508605884,0.584174712,0.04714164136,0.0316875726,0.1808275225,87.53148613,1,39,39,0,272,68,10,,,,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1/ies_nll_gain_history.jsonl,,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_forced_sample0_epoch3,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,1.8,,1.8,,,2,1,,,,,sample0_stop_epoch3,0.5786001417,0.6273709875,0.634725812,0.5649475649,0.05611696578,0.0326736711,0.1680052852,86.27204028,0,40,40,0,279,69.75,10,10,50,304.4658,5.07443,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_forced_sample0_epoch3/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_forced_sample0_epoch3/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_forced_sample0_epoch3/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_forced_sample0_epoch3
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,2.0,,2,,,2,1,,,,,,0.5786001417,0.627719645,0.6508605884,0.584174712,0.04714164136,0.0316875726,0.1808275225,87.53148613,1,39,39,0,272,68,10,10,50,299.2749,4.987915,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_forced_sample0_epoch3,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,2.0,,2,,,2,1,,,,,sample0_stop_epoch3,0.5786001417,0.6273709875,0.634725812,0.5649475649,0.05611696578,0.0326736711,0.1680052852,86.27204028,0,40,40,0,279,69.75,10,10,50,303.6471,5.060785,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_forced_sample0_epoch3/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_forced_sample0_epoch3/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_forced_sample0_epoch3/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_forced_sample0_epoch3
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.1,,,0.1,3,,,,,,,,0.2656871403,0.6165356857,0.6756774728,0.7434891775,0.07795885466,0.07215423584,0.3395972691,60.20151132,1,39,39,0,70,17.5,10,10,42,264.7827,4.413045,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1
forget01,40,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.12,,,0.12,3,,,,,,,,0.2656871403,0.6163905282,0.674321319,0.7440357983,0.07795885466,0.07219390869,0.3213954424,60.07556674,1,39,39,0,79,19.75,10,10,41,258.1097,4.301828333,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12
