split,model,method,variant,run,lr,batch_size,gradient_accumulation,epochs,beta,delta,gamma,moving_average_window,stop_ratio_threshold,gain_threshold,rebound_ratio_threshold,global_step,final_train_epoch,train_runtime_seconds,forget_quality,model_utility,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_truth_ratio,privleak,summary_path
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,1.8,0.2,250,10.0,330.3623,8.114129962716335e-08,0.5993159866191212,0.8676230227947235,0.2122470319720485,0.211611328125,0.4743010827388042,0.5323148459927092,-66.20163402710011,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,2.0,0.2,250,10.0,344.3317,2.4125498977354686e-08,0.6031715614236295,0.8691380748152733,0.22112834649269042,0.2173614501953125,0.47583197556417134,0.5276493134493032,-66.00894094866516,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,2.2,0.2,250,10.0,375.3582,1.2940880677508261e-08,0.6057018074250111,0.8668008577823639,0.21966588527615943,0.212193603515625,0.47278796128415157,0.530632159246461,-63.56559271411045,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,1.8,0.2,250,10.0,278.6618,0.0020827633834865906,0.6275662114033912,0.7648632645606994,0.11997564527956739,0.07127639770507813,0.33269228098666753,0.5948916263306361,25.12910435869753,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,2.0,0.2,250,10.0,294.1689,1.1150402145378719e-05,0.6281199321496654,0.7529217746853828,0.11774028800351735,0.060215110778808596,0.3288432213989605,0.5727830869265677,31.632495755875972,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,2.2,0.2,250,10.0,297.1882,0.00018395764501293307,0.6278375408601722,0.7532502350211143,0.1141874478160416,0.057884140014648436,0.31723749781009064,0.5916599801463366,34.71173114926594,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,1.8,0.2,120,9.24,195.6405,2.9607827368482373e-05,0.6081708541479242,0.8424224397540092,0.16484016680051375,0.1526312255859375,0.45432240607564595,0.5778503753547496,-28.769076610333123,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,2.0,0.2,120,9.24,197.4026,0.0002829222008740643,0.6129790510161862,0.839180834889412,0.1582684075011707,0.1347265625,0.44533555372466194,0.5883231004454715,-21.1538461505852,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,2.2,0.2,120,9.24,205.5237,0.0002829222008740643,0.6183368454275128,0.839122271835804,0.15515051773965488,0.13860504150390626,0.454022875418225,0.5869346065738898,-20.672113454497918,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget05,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.25,,,1.8,0.2,120,9.24,182.2568,0.000648608042418048,0.6184829632819532,0.8250598087906837,0.14041767045948497,0.1132415771484375,0.427496159532635,0.6003791002607565,-11.222444888049582,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
